Price,Adj Close,Close,High,Low,Open,Volume
Ticker,TSX,TSX,TSX,TSX,TSX,TSX
Date,,,,,,
2017-01-03,4.300000190734863,4.300000190734863,4.380000114440918,4.199999809265137,4.380000114440918,19240
2017-01-04,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2017-01-05,4.300000190734863,4.300000190734863,4.300000190734863,4.199999809265137,4.300000190734863,1208
2017-01-06,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,532
2017-01-09,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,4.300000190734863,0
2017-01-10,3.9000000953674316,3.9000000953674316,4.0,3.9000000953674316,4.0,3109
2017-01-11,4.170000076293945,4.170000076293945,4.190000057220459,4.170000076293945,4.190000057220459,1775
2017-01-12,4.199999809265137,4.199999809265137,4.199999809265137,4.099999904632568,4.099999904632568,425
2017-01-13,5.0,5.0,5.0,4.199999809265137,4.199999809265137,210552
2017-01-17,4.400000095367432,4.400000095367432,4.550000190734863,4.400000095367432,4.550000190734863,73
2017-01-18,4.900000095367432,4.900000095367432,4.900000095367432,4.5,4.5,6016
2017-01-19,4.849999904632568,4.849999904632568,5.099999904632568,4.400000095367432,5.099999904632568,88232
2017-01-20,5.0,5.0,5.0,4.900000095367432,4.900000095367432,3005
2017-01-23,4.949999809265137,4.949999809265137,4.949999809265137,4.300000190734863,4.300000190734863,21527
2017-01-24,4.800000190734863,4.800000190734863,5.25,4.800000190734863,4.949999809265137,70024
2017-01-25,5.199999809265137,5.199999809265137,5.550000190734863,4.800000190734863,5.550000190734863,22526
2017-01-26,5.179999828338623,5.179999828338623,5.199999809265137,5.0,5.199999809265137,17758
2017-01-27,5.179999828338623,5.179999828338623,5.179999828338623,5.0,5.0,103
2017-01-30,5.0,5.0,5.179999828338623,5.0,5.179999828338623,852
2017-01-31,4.949999809265137,4.949999809265137,4.949999809265137,4.349999904632568,4.349999904632568,32821
2017-02-01,4.900000095367432,4.900000095367432,4.900000095367432,4.400000095367432,4.400000095367432,8010
2017-02-02,5.099999904632568,5.099999904632568,5.099999904632568,4.949999809265137,4.949999809265137,4000
2017-02-03,4.949999809265137,4.949999809265137,4.949999809265137,4.900000095367432,4.900000095367432,100000
2017-02-06,5.099999904632568,5.099999904632568,5.099999904632568,4.849999904632568,4.849999904632568,33376
2017-02-07,5.5,5.5,5.5,4.849999904632568,5.0,42354
2017-02-08,5.380000114440918,5.380000114440918,5.400000095367432,5.380000114440918,5.400000095367432,596
2017-02-09,4.849999904632568,4.849999904632568,4.849999904632568,4.849999904632568,4.849999904632568,6
2017-02-10,5.5,5.5,5.5,5.300000190734863,5.300000190734863,25017
2017-02-13,5.5,5.5,5.5,5.5,5.5,0
2017-02-14,5.5,5.5,5.5,4.650000095367432,4.849999904632568,11250
2017-02-15,5.5,5.5,5.5,5.5,5.5,0
2017-02-16,5.5,5.5,5.5,5.260000228881836,5.260000228881836,13531
2017-02-17,5.150000095367432,5.150000095367432,5.5,5.150000095367432,5.5,13728
2017-02-21,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,2253
2017-02-22,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,4.550000190734863,0
2017-02-23,4.75,4.75,4.760000228881836,4.75,4.760000228881836,176
