Month,Adj Close,Close,High,Low,Open,Volume
,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE,^GSPTSE
2017-01-31,15486.576125372023,15486.576125372023,15531.990420386905,15437.70005580357,15491.46665736607,206382366.66666666
2017-02-28,15639.705283717105,15639.705283717105,15684.2158203125,15595.126233552632,15646.842053865132,231691615.78947368
2017-03-31,15515.278192934782,15515.278192934782,15572.065090013586,15454.304262907608,15510.308678668478,227673295.6521739
2017-04-30,15642.257863898027,15642.257863898027,15699.157843338815,15587.526161595395,15652.621042351973,207050331.57894737
2017-05-31,15486.840997869318,15486.840997869318,15551.52725497159,15436.959117542614,15507.618119673296,206910068.1818182
2017-06-30,15308.82266512784,15308.82266512784,15371.06827059659,15249.804465553978,15315.154474431818,229315709.0909091
2017-07-31,15153.55,15153.55,15200.939990234376,15099.625,15160.2400390625,152854985.0
2017-08-31,15108.950017755682,15108.950017755682,15154.554509943182,15060.240900213068,15112.090997869318,153166800.0
2017-09-30,15284.460009765626,15284.460009765626,15314.139990234375,15238.0548828125,15269.584814453125,193503000.0
2017-10-31,15825.97619047619,15825.97619047619,15853.671409970239,15797.219029017857,15819.809477306548,165845861.9047619
2017-11-30,16032.327192826704,16032.327192826704,16066.536443536932,16000.472700639204,16032.772682883522,176767209.0909091
2017-12-31,16092.826223273027,16092.826223273027,16138.942074424342,16056.215666118422,16094.5263671875,184272426.31578946
2018-01-31,16272.463734019886,16272.463734019886,16313.831853693182,16229.322798295454,16287.45458984375,210722286.36363637
2018-02-28,15430.631630345395,15430.631630345395,15531.305150082237,15344.889442845395,15454.194695723685,234158378.9473684
2018-03-31,15490.395182291666,15490.395182291666,15561.990513392857,15431.852353050595,15500.728562127977,205932438.0952381
2018-04-30,15380.423828125,15380.423828125,15441.033249627977,15325.843005952382,15385.20470610119,192587228.57142857
2018-05-31,15964.39990234375,15964.39990234375,15998.531871448864,15913.222789417614,15948.345348011364,205693645.45454547
2018-06-30,16253.252371651786,16253.252371651786,16300.143043154761,16206.371372767857,16253.457217261905,211363814.2857143
2018-07-31,16432.56189546131,16432.56189546131,16473.87625558036,16380.71423921131,16427.623883928572,167334404.76190478
2018-08-31,16332.427201704546,16332.427201704546,16391.83185369318,16287.681773792614,16345.63623046875,198310918.1818182
2018-09-30,16125.610402960527,16125.610402960527,16183.168431332237,16087.273694490132,16146.342105263158,252503052.63157895
2018-10-31,15441.172674005682,15441.172674005682,15542.33633700284,15377.286399147728,15494.954545454546,279131331.8181818
2018-11-30,15144.004572088068,15144.004572088068,15197.88631924716,15070.672674005682,15130.404607599432,253681772.72727272
2018-12-31,14546.799958881578,14546.799958881578,14690.973735608553,14486.705335115132,14623.136821546053,276276668.42105263
2019-01-31,15031.88623046875,15031.88623046875,15059.504438920454,14935.681818181818,14983.66366299716,237062686.36363637
2019-02-28,15811.205335115132,15811.205335115132,15845.642115542763,15757.57380756579,15796.478978207237,250210405.2631579
2019-03-31,16119.561848958334,16119.561848958334,16163.685779389882,16073.704613095239,16124.247535342261,269785457.14285713
2019-04-30,16470.40001860119,16470.40001860119,16492.314267113095,16422.752464657737,16455.75232514881,214245804.76190478
2019-05-31,16316.76376065341,16316.76376065341,16356.213689630682,16253.42724609375,16303.081764914772,216000386.36363637
2019-06-30,16322.645166015625,16322.645166015625,16358.200146484374,16279.11015625,16325.655029296875,211161580.0
2019-07-31,16515.04083806818,16515.04083806818,16547.931906960228,16470.88640802557,16515.22736150568,168734668.1818182
2019-08-31,16243.066592261905,16243.066592261905,16308.533296130952,16175.095284598214,16239.123790922618,195463795.23809522
2019-09-30,16683.2453125,16683.2453125,16729.61484375,16638.9751953125,16677.7,234141550.0
2019-10-31,16403.16357421875,16403.16357421875,16459.327104048294,16357.009011008522,16418.449973366478,184524781.8181818
2019-11-30,16925.99534970238,16925.99534970238,16946.08565848214,16880.409505208332,16904.414248511905,205401804.76190478
2019-12-31,17019.95986328125,17019.95986328125,17058.97509765625,16983.00986328125,17024.31494140625,207834430.0
2020-01-31,17381.995649857956,17381.995649857956,17412.731711647728,17328.04998224432,17360.34552556818,211871877.27272728
2020-02-29,17542.689453125,17542.689453125,17609.17886513158,17466.336965460527,17558.310546875,261518557.89473686
2020-03-31,13757.1318359375,13757.1318359375,14098.39990234375,13428.949973366478,13804.75,499857227.27272725
2020-04-30,14071.476143973214,14071.476143973214,14214.609561011905,13920.604724702382,14055.990420386905,348308366.6666667
2020-05-31,14903.835009765626,14903.835009765626,14987.28994140625,14790.1150390625,14919.905078125,319881845.0
2020-06-30,15480.881880326704,15480.881880326704,15583.050026633522,15368.70010653409,15500.508966619318,321071704.54545456
2020-07-31,15942.481800426136,15942.481800426136,16016.254527698864,15847.254527698864,15938.027166193182,194763659.0909091
2020-08-31,16584.2900390625,16584.2900390625,16635.975146484376,16518.0798828125,16589.13994140625,199759780.0
2020-09-30,16234.704799107143,16234.704799107143,16343.980747767857,16138.499953497023,16269.680943080357,235095447.6190476
2020-10-31,16226.723865327382,16226.723865327382,16307.528552827382,16148.399925595239,16252.685639880952,211048366.66666666
2020-11-30,16743.604910714286,16743.604910714286,16805.076311383928,16657.866768973214,16723.404808407737,270683195.2380952
2020-12-31,17520.947823660714,17520.947823660714,17582.642671130954,17455.004836309523,17524.890531994046,247748995.23809522
2021-01-31,17830.675,17830.675,17908.31513671875,17756.53505859375,17853.7451171875,250555990.0
2021-02-28,18250.079050164473,18250.079050164473,18307.594675164473,18129.473581414473,18228.63168174342,283051605.2631579
2021-03-31,18658.099864130436,18658.099864130436,18732.565047554348,18554.782778532608,18652.665166440216,279895065.2173913
2021-04-30,19168.876395089286,19168.876395089286,19229.26199776786,19104.28087797619,19172.72386532738,201202557.14285713
2021-05-31,19442.9048828125,19442.9048828125,19506.23017578125,19356.27001953125,19428.45,238416995.0
2021-06-30,20110.072798295456,20110.072798295456,20161.090731534092,20056.86834161932,20117.2001953125,229490768.1818182
2021-07-31,20165.295107886905,20165.295107886905,20219.82384672619,20092.67606026786,20164.780784970237,170390819.04761904
2021-08-31,20462.614304315477,20462.614304315477,20505.466703869046,20402.180710565477,20452.20470610119,178290823.80952382
2021-09-30,20510.93824404762,20510.93824404762,20596.937965029763,20467.36644345238,20544.961867559523,232076542.85714287
2021-10-31,20777.575,20777.575,20828.980078125,20682.36533203125,20743.9349609375,213138835.0
2021-11-30,21439.104580965908,21439.104580965908,21525.618075284092,21372.436257102272,21466.47736150568,248287300.0
2021-12-31,20917.447451636905,20917.447451636905,21027.366629464286,20810.738188244046,20910.204985119046,237045200.0
2022-01-31,21033.24501953125,21033.24501953125,21161.56982421875,20856.53505859375,21035.5048828125,262863980.0
2022-02-28,21232.373663651317,21232.373663651317,21330.61595394737,21114.326069078947,21212.436986019737,288395910.5263158
2022-03-31,21626.252207880436,21626.252207880436,21720.87398097826,21513.369395380436,21599.895805027172,318250039.1304348
2022-04-30,21586.46513671875,21586.46513671875,21738.76982421875,21491.07509765625,21652.89501953125,251417865.0
2022-05-31,20400.752418154763,20400.752418154763,20554.485677083332,20240.36207217262,20419.35704985119,291610180.95238096
2022-06-30,19745.3544921875,19745.3544921875,19894.186434659092,19621.658913352272,19800.354403409092,281748972.72727275
2022-07-31,18929.71474609375,18929.71474609375,19010.169921875,18781.22021484375,18896.0849609375,235839395.0
2022-08-31,19875.877574573864,19875.877574573864,19962.877219460228,19802.390980113636,19883.55450994318,240928577.27272728
2022-09-30,19143.018973214286,19143.018973214286,19289.595238095237,19016.185732886905,19161.990420386905,264660285.7142857
2022-10-31,18874.544921875,18874.544921875,18999.6751953125,18717.07001953125,18833.305078125,237955275.0
2022-11-30,19910.759321732956,19910.759321732956,20000.759144176136,19810.168235085228,19903.168235085228,261224518.1818182
2022-12-31,19760.10478515625,19760.10478515625,19894.8650390625,19679.0751953125,19805.25009765625,259641845.0
2023-01-31,20256.67615327381,20256.67615327381,20310.766648065477,20130.40011160714,20200.499906994046,233747880.95238096
2023-02-28,20530.352590460527,20530.352590460527,20609.420847039473,20435.368523848683,20531.66324013158,253389721.0526316
2023-03-31,19851.95219089674,19851.95219089674,19958.586786684784,19742.921875,19858.913213315216,292432934.7826087
2023-04-30,20483.189453125,20483.189453125,20536.094675164473,20406.068564967107,20453.25277549342,222259842.10526314
2023-05-31,20247.2587890625,20247.2587890625,20339.845348011364,20177.95916193182,20290.027254971592,209530577.27272728
2023-06-30,19865.15447443182,19865.15447443182,19927.154563210228,19781.136274857956,19843.100053267044,209576986.36363637
2023-07-31,20278.38994140625,20278.38994140625,20334.72509765625,20216.525,20266.48525390625,196383985.0
2023-08-31,20089.34099786932,20089.34099786932,20173.93181818182,20011.177379261364,20098.963778409092,191437522.72727272
2023-09-30,20084.53505859375,20084.53505859375,20195.3748046875,20023.690234375,20120.70009765625,224605525.0
2023-10-31,19204.652529761905,19204.652529761905,19327.323753720237,19109.180989583332,19234.86644345238,196367666.66666666
2023-11-30,19897.899946732956,19897.899946732956,19964.04998224432,19803.904740767044,19853.599964488636,200752454.54545453
2023-12-31,20590.873663651317,20590.873663651317,20668.42619243421,20485.157894736843,20553.326171875,242346605.2631579
2024-01-31,20976.054598721592,20976.054598721592,21039.259144176136,20880.068093039772,20961.04998224432,188030731.8181818
2024-02-29,21116.2048828125,21116.2048828125,21180.79521484375,21018.85,21093.9849609375,213264215.0
