Date,Adj Close,Close,High,Low,Open,Volume
01/01/2020,0.756927788,0.756927788,0.774035752,0.755058944,0.769112468,0
01/02/2020,0.748587012,0.748587012,0.756944954,0.742842734,0.755646586,0
01/03/2020,0.705283284,0.705283284,0.751038313,0.681825936,0.748587012,0
01/04/2020,0.720757127,0.720757127,0.721912205,0.699794948,0.710368574,0
01/05/2020,0.727288604,0.727288604,0.729070187,0.701213062,0.716753423,0
01/06/2020,0.732246697,0.732246697,0.748447001,0.725663066,0.725736797,0
01/07/2020,0.745556474,0.745556474,0.750131309,0.732853115,0.736680806,0
01/08/2020,0.764508426,0.764508426,0.767742515,0.743472338,0.745762229,0
01/09/2020,0.747171938,0.747171938,0.769585967,0.745150924,0.767077029,0
01/10/2020,0.751015782,0.751015782,0.764467537,0.74687618,0.751597166,0
01/11/2020,0.770261765,0.770261765,0.774407387,0.748155832,0.751117289,0
01/12/2020,0.784270704,0.784270704,0.787997246,0.76977551,0.76977551,0
01/01/2021,0.782717586,0.782717586,0.809723139,0.776379406,0.809723139,0
01/02/2021,0.785009444,0.785009444,0.802040398,0.777115464,0.781231701,0
01/03/2021,0.792342842,0.792342842,0.808701634,0.785367012,0.787612438,0
01/04/2021,0.814584315,0.814584315,0.815261662,0.790638864,0.795988262,0
01/05/2021,0.827965379,0.827965379,0.832410753,0.809893668,0.814020693,0
01/06/2021,0.806698859,0.806698859,0.832778215,0.800974011,0.829235554,0
01/07/2021,0.80416882,0.80416882,0.812875926,0.781195104,0.806731343,0
01/08/2021,0.793090582,0.793090582,0.80416882,0.772343934,0.80416882,0
01/09/2021,0.784080029,0.784080029,0.80010879,0.77567488,0.792751074,0
01/10/2021,0.807363153,0.807363153,0.813749075,0.785138905,0.78838861,0
01/11/2021,0.785052598,0.785052598,0.809565842,0.779544771,0.807787061,0
01/12/2021,0.784658313,0.784658313,0.79313463,0.771414459,0.7829566,0
01/01/2022,0.783754349,0.783754349,0.803083837,0.780439079,0.791183054,0
01/02/2022,0.783994019,0.783994019,0.791395962,0.776602507,0.786212981,0
01/03/2022,0.801134408,0.801134408,0.804421127,0.775265872,0.789577603,0
01/04/2022,0.784535289,0.784535289,0.80638659,0.776469886,0.800095975,0
01/05/2022,0.790189028,0.790189028,0.791759372,0.76577884,0.784535289,0
01/06/2022,0.776198685,0.776198685,0.798811376,0.764648736,0.79120183,0
01/07/2022,0.782613456,0.782613456,0.782613456,0.756343842,0.776777506,0
01/08/2022,0.76397115,0.76397115,0.785663247,0.761133492,0.780299067,0
01/09/2022,0.731288135,0.731288135,0.771968305,0.723003089,0.760965466,0
01/10/2022,0.734856427,0.734856427,0.740921855,0.715824783,0.726955533,0
01/11/2022,0.736181855,0.736181855,0.883290768,0.724312246,0.734716058,0
01/12/2022,0.73713696,0.73713696,0.747121751,0.727696121,0.745600939,0
01/01/2023,0.747171938,0.747171938,0.751896679,0.731026232,0.73708266,0
01/02/2023,0.736702561,0.736702561,0.754011393,0.73192507,0.751540661,0
01/03/2023,0.739541054,0.739541054,0.740312994,0.721474707,0.732858479,0
01/04/2023,0.732600749,0.732600749,0.751529336,0.731261432,0.739426255,0
01/05/2023,0.735310376,0.735310376,0.75098753,0.732386112,0.737512112,0
01/06/2023,0.754716933,0.754716933,0.762404323,0.736133039,0.73713696,0
01/07/2023,0.75466007,0.75466007,0.764713049,0.747071505,0.764713049,0
01/08/2023,0.73880887,0.73880887,0.758385837,0.733180821,0.758035123,0
01/09/2023,0.735943437,0.735943437,0.746959865,0.73055625,0.740208864,0
01/10/2023,0.723139048,0.723139048,0.737354398,0.720248342,0.735943437,0
01/11/2023,0.735824347,0.735824347,0.738459766,0.719864666,0.720637619,0
01/12/2023,0.754090965,0.754090965,0.759036362,0.734338403,0.737653553,0
01/01/2024,0.746173978,0.746173978,0.755937874,0.738530576,0.755332649,0
01/02/2024,0.736512601,0.736512601,0.748278916,0.735050857,0.744296849,0
01/03/2024,0.738606989,0.738606989,0.745006561,0.734581113,0.736718774,0
01/04/2024,0.731705546,0.731705546,0.741949856,0.722256362,0.739541054,0
01/05/2024,0.730817854,0.730817854,0.738989115,0.725573599,0.725847423,0
01/06/2024,0.730353475,0.730353475,0.735137343,0.725173652,0.732547045,0
01/07/2024,0.722042501,0.722042501,0.735883951,0.721282125,0.731384456,0
01/08/2024,0.741179943,0.741179943,0.744047642,0.717313766,0.724202096,0
01/09/2024,0.740258217,0.740258217,0.745212018,0.7327618,0.74134481,0
01/10/2024,0.719010651,0.719010651,0.742285788,0.71713376,0.739251256,0
01/11/2024,0.713572145,0.713572145,0.760329068,0.705397725,0.7176072,0
01/12/2024,0.696873784,0.696873784,0.917044222,0.691634655,0.713623106,0
